"categorydescription","subcatdescription"
"Accommodation","Apartment"
"Accommodation","B+B"
"Accommodation","Camping"
"Accommodation","Holiday Home"
"Accommodation","Hostel"
"Accommodation","Hotel"
"Accommodation","Hotel Package"
"Accommodation","Lodge"
"Accommodation","Motel"
"Accommodation","Other"
"Accommodation","Overwater Bungalows"
"Accommodation","Resort"
"Accommodation","Villa"
"Activities","Activities"
"Activities","Sightseeing"
"Airfare Packages","TC Club Deal - Inclusive Package"
"Air Transportation","Business Class"
"Air Transportation","Companion fares"
"Air Transportation","Economy"
"Air Transportation","Escape Fares - Business Class"
"Air Transportation","Escape Fares - Economy"
"Air Transportation","First Class"
"Air Transportation","Mixed Class"
"Air Transportation","Multi-stop"
"Air Transportation","One Way"
"Air Transportation","Premium Economy"
"Air Transportation","Student"
"Air Transportation","TC Club Deal Air - Economy"
"Cruise","Balcony Suite"
"Cruise","Family"
"Cruise","Inside Stateroom"
"Cruise","Other"
"Cruise","Package"
"Cruise","Quad"
"Cruise","Sail and Bareboat"
"Cruise","Single"
"Cruise","Solo"
"Cruise","Twin"
"Ground Transportation","4 Wheel Drive/SUVs"
"Ground Transportation","Bus"
"Ground Transportation","Campervan"
"Ground Transportation","Large/Full Size"
"Ground Transportation","Limosine"
"Ground Transportation","Medium/Intermediate"
"Ground Transportation","Other"
"Ground Transportation","Prestige/Luxury"
"Ground Transportation","Rail"
"Ground Transportation","Road Trips"
"Ground Transportation","Small/Economy"
"Ground Transportation","Sport Car/Convertibles"
"Holiday Package","Double Dip Holidays"
"Holiday Package","Holiday Package"
"Holiday Package","Luxury Holiday Package"
"Holiday Package","Student Holiday Package"
"Holiday Package","Triple Treat Holidays"
"Hotel Packages","Hotel Packages"
"Land Only","Land Only"
"Multi-stop","Double Dip"
"Multi-stop","Triple Treat"
"Other Categories","Cycling"
"Other Categories","Diving"
"Other Categories","Events"
"Other Categories","Festivals"
"Other Categories","Misc. FCAU Homepage"
"Other Categories","Other"
"Other Categories","Shows"
"Other Categories","Skiing"
"Other Categories","Teaching and Learning"
"Other Categories","Walking/Trekking"
"Round The World","Business Class"
"Round The World","Economy"
"Round The World","First Class"
"Round The World","Night Tours"
"Round The World","Premium Economy"
"Tour","Coach/Escorted Tour"
"Tour","Day Tour"
"Tour","Full Day"
"Tour","Half Day"
"Tour","Independent"
"Tour","Multi Day"
"Tour","Other"
"Tour","Overland"
"Tour","Overnight"
"Tour","Small Group"